id,name,address,latitude,longitude,type,type_number,telephone,theme,has_parkinglot,parkinglot_count,homepage,description
1,Treasure Island Horseback Riding Land,"2310 Dongbu-daero, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8621203,128.0150717,Tourist Attraction,,0507-1384-0558,"Spring, Summer, Autumn, Winter, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",Y,,,"A public horseback riding ground built on Changseondo Island, where the entire area was set up as a ranch during the Joseon Dynasty. Professional education on horseback riding is also available from feeding and horseback riding experiences."
2,Namhae Surprise,"50 Namhae-daero 697beon-gil, Sangju-myeon, Namhae-gun, Gyeongsangnam-do",34.7207209,127.9843436,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone, Group",Y,,,
3,Fire Wiring Board,"Hwagye-ri, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.7789245,127.9446796,Tourist Attraction,,,,N,,,
4,Deoksin Pull Rope,"Deoksin-ri, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.927367,127.879469,Tourist Attraction,,,,N,,,
5,Namhae Flower Market Preservation Association,"42 Tapdong-ro, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.8955192,127.8742401,Tourist Attraction,,,,N,,,
6,Namhae Gohyeon Household Good Noreum Preservation Association,"65-31 Tapdong-ro, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.8964003,127.8719738,Tourist Attraction,,,,N,,,
7,South Korea Association Of Celebrities And Artists,"114-10 Hwajeon-ro, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8419365,127.8946266,Tourist Attraction,,,,N,,,
8,South Branch Of Korea Music Association,"1-2 Mangun-ro, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8379872,127.8937679,Tourist Attraction,,,,N,,,
9,South Branch Of The Korean Art Association,"36-22 Yanghwageum-ro 52beon-gil, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.821176,128.0461754,Tourist Attraction,,,,N,,,
10,South Branch Of Korean Writers Association,"34-1 Dongbu-daero 1876beonna-gil, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8307585,128.0025151,Tourist Attraction,,,,N,,,
11,Namhae Cultural Center,"12 Seonso-ro, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8451138,127.8995432,Tourist Attraction,,055-864-6969,,Y,,http://www.ccnh.or.kr/html/main/main.php,
12,Museum Namhae & Dongchangseon Art Stay,"13 Yeongok-ro, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8700475,128.0408541,Tourist Attraction,,055-867-2021,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship",Y,,http://www.xn--q20bo4d78is4fp3bg9flgk2a71j19glzhd2qfle30l.com/danuri.web,"Museum Namhae & Dongchangseon Art Stay, a complex cultural space reborn by remodeling the closed school, offers high-quality cultural and artistic enjoyment opportunities by holding exhibitions of various genres such as visual art, sculpture, and installation. There is also a water playground for children and an auto camping site."
13,Namhaegak,"4216 Namhae-daero, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9407443,127.8724304,Tourist Attraction,,055-860-8611,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,http://namhaegak.com/,"This idle space, which has served as an inn and rest area for 44 years, was transformed into a cultural space in 2021."
14,Bitdam Village,"Seongu-ri, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7299086,127.8678414,Tourist Attraction,,1588-3415,"Village tour, Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,20,,"This quiet and cozy village is a pension complex built by Namhae-gun in Hangchon Village in Seong-ri, Nam-myeon in 2011. The Bitdam Village, built with a size of 21,764.7§³, is a pleasant residential and recreational space in harmony with the clean southern sea and is in the spotlight as a ""place to stay"" for urban residents tired of the complex modern society and those dreaming of returning home."
15,Nankai Chungnyeolsa Temple And Noryanghoe Town,"27 Noryang-ro 183beon-gil, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9419198,127.875899,Tourist Attraction,,055-860-3311,"Tourist attraction, Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",Y,,,
16,Namhae Sheep Farm Yangmart Hill,"179-45 Geumam-ro, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.7904325,128.0241394,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",Y,,https://www.nh-yang.com/,"Opened in May 2018, 131 Bonghwa-ri, Samdong-myeon, it is an excellent accessibility because it is a sheep ranch located in the yolk position among all the popular tourist attractions in Samdong-myeon. Located in Naesan Mountain, Samdong-myeon, famous for its good autumn foliage, the area is adjacent to the Cypress Natural Recreation Forest, Butterfly Ecological Park, and Wind Traces Museum, and is also good for linking with German villages and Haeoreum Art Village. Yangmartre Ranch, which is famous for its ""Yangmori Performance"" held every hour between 11 a.m. and 3 a.m. every day, is famous for its ""Yangmori Dog"" Moss, which was also a hot topic for its broadcast appearance. The scene of ""Moss,"" a black dog that drives sheep, driving dozens of sheep in the lead is a series of dramatic scenes. The fun of sometimes finding one or two lambs that have left the herd comes as a bonus. After the Yangmori performance, the discus throwing experience is often followed."
17,Jijokgu Street,"1 Dongbu-daero 1876beon-gil, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8317412,128.0001099,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone",N,,,
18,Sulli Skywalk,"1029-13Songjeong-ri, Mijo-myeon, Namhae-gun,Gyeongsangnam-do",34.7085043,128.0229475,Tourist Attraction,,070-423-1117,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",Y,,,"The Skywalk swing, also known as the Sky Swing, is 38m high and is made with the motif of Bali, Indonesia, a resort loved by people around the world, Swing on Bali Island, giving it an extreme giddy feeling that is likely to touch the sky and plunge into the sea beneath its feet. At night, you can enjoy landscape lighting throughout the skywalk."
19,Dolchanggo,"538-1 Bonghwa-ro, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8095001,127.9816927,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,,https://dolchanggo.com/,
20,Janghang Street,"31 Namseo-daero 1517beon-gil, Seo-myeon, Namhae-gun, Gyeongsangnam-do",34.8004847,127.8364069,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone",N,,,
21,Sulli Village Experience Recreational Village,"75-12 Misong-ro 303beon-gil, Mijo-myeon, Namhae-gun, Gyeongsangnam-do",34.7044377,128.0269308,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Group",Y,,http://www.xn--oy2b2b862as3eg7bu8mura767c.kr/,"It is a small fishing village located at the southernmost tip of the South Sea, surrounded by the sea on three sides with about 500m long white sand and large and small islands such as Teseom Island and Sado Island, making it a scenic and beautiful fishing village. During the summer vacation season, it is called Naples, Korea, where you can enjoy various experience programs such as bathing and marine leisure sports on the beautiful white sand."
22,Treasure Island Drone Experience Center,"69 Sangju-ro 60beon-gil, Sangju-myeon, Namhae-gun, Gyeongsangnam-do",34.7243804,127.9805869,Tourist Attraction,,055-860-8671,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship",Y,,,"At the drone experience center in Sangju Hallyeohaesang Sports Park, you can experience the beautiful scenery of Sangju Eun Sand Beach with the eyes of drones, the leader of the fourth industry."
